;user;tweet_type;verified;followers;hashtags
382;FlaaviiaLiima;recent;False;585;['vemDavidLuiz']
383;LidianeDudaa;recent;False;330;['TZNALOJINHA']
384;Brunaogf;recent;False;115;['bancodonordeste', 'minasgerais']
385;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
386;Alexand75129362;recent;False;4;['NaVeia']
387;marcelo_sramos;recent;False;26;['DavidLuizNoMengo']
388;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
389;FlaaviiaLiima;recent;False;585;['vemDavidLuiz']
390;gubarthelson;recent;False;561;['Dia12PeloImpeachment']
391;PauloRA55041156;recent;False;3;['NaVeia']
392;AntnioD79812716;recent;False;352;['VemDavidLuiz']
393;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
394;juddyoficial;recent;False;433;['instagramdown', 'boanoite']
395;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
396;guimeirelles1;recent;False;867;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
397;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
398;FlaaviiaLiima;recent;False;585;['vemDavidLuiz']
399;jsoares_of;recent;False;4;['CidadeAlertaRJ']
